region_id,parent_id,depth,size,target_samples,actual_samples,violations,estimated_ratio,gini,best_attr,best_cut,best_gain,gini_weight_mode,max_split_ratio,sampler_weight,sampler_probability,sampling_risk_focus_alpha,sampling_risk_floor,partition_sample_mode,sampler_used_fallback,sampler_draws,sampler_violations,partition_tests_total,partition_violations_total,sampler_tests_total,sampler_violations_total,bounds,split_history,batch_size
27,13,4,5325807730320000,2639,2639,0,0.0,0.0,0,2,0.0,sample,1.0,53258077303.200005,0.0004945839262478329,1.0,1e-05,fresh_region,0,1607,0,1694903,119260,3309056,449557,2:8;0:6;0:74;0:14;0:6;0:13;0:5;0:4;0:1;8:99;0:43;1:99;0:40,x0 > 1|x9 > 7|x0 <= 8|x3 <= 14,512
56,28,5,304331870304000,1392,1392,0,0.0,0.0,0,2,0.0,sample,1.0,3043318703.0400004,2.8261938642733315e-05,1.0,1e-05,fresh_region,0,86,0,1694903,119260,3309056,449557,2:8;0:6;0:74;15:15;1:6;0:13;0:5;0:4;0:1;8:99;0:43;1:99;0:40,x0 > 1|x9 > 7|x0 <= 8|x3 > 14|x4 > 0,512
57,29,5,347807851776000,1419,1419,0,0.0,0.0,1,0,0.0,sample,1.0,3478078517.76,3.229935844883807e-05,1.0,1e-05,fresh_region,0,97,0,1694903,119260,3309056,449557,9:9;0:6;0:74;0:15;0:6;0:5;0:5;0:4;0:1;8:99;0:43;1:99;0:40,x0 > 1|x9 > 7|x0 > 8|x5 <= 6|x5 <= 5,512
91,46,6,101081656922400,1226,1226,0,0.0,0.0,1,0,0.0,sample,1.0,1010816569.2240001,9.387001049193564e-06,1.0,1e-05,fresh_region,0,31,0,1694903,119260,3309056,449557,1:1;0:6;6:74;0:14;6:6;0:13;0:5;0:4;0:1;7:99;0:43;1:99;0:40,x0 <= 1|x4 > 5|x2 > 2|x2 > 5|x9 > 6|x3 <= 14,512
126,65,7,3329435340000,1041,1041,0,0.0,0.0,1,0,0.0,sample,1.0,33294353.400000002,3.091897578785759e-07,1.0,1e-05,fresh_region,0,2,0,1694903,119260,3309056,449557,1:1;0:6;0:74;0:14;0:0;0:13;0:5;0:4;0:1;7:99;0:43;51:53;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 > 50|x4 <= 0|x3 <= 14|x9 > 6,512
141,73,7,1319671920000,1026,1026,0,0.0,0.0,1,0,0.0,sample,1.0,13196719.200000001,1.2255202451955575e-07,1.0,1e-05,fresh_region,0,0,0,1694903,119260,3309056,449557,1:1;0:6;0:74;0:15;1:5;0:13;0:0;0:4;0:1;0:6;0:16;54:99;0:40,x0 <= 1|x4 <= 5|x11 > 53|x4 > 0|x10 <= 16|x6 <= 0|x9 <= 6,512
163,84,7,1480703716800,1028,1028,0,0.0,0.0,1,0,0.0,sample,1.0,14807037.168000001,1.3750632672965483e-07,1.0,1e-05,fresh_region,0,0,0,1694903,119260,3309056,449557,1:1;0:6;0:2;0:10;6:6;0:13;0:5;0:4;0:1;6:99;24:43;1:99;0:40,x0 <= 1|x4 > 5|x2 <= 2|x10 > 23|x9 > 4|x9 > 5|x3 <= 10,512
182,94,7,21995753472000,1106,1106,0,0.0,0.0,0,2,0.0,sample,1.0,219957534.72000003,2.0426471746300756e-06,1.0,1e-05,fresh_region,0,5,0,1694903,119260,3309056,449557,2:9;0:6;0:74;0:15;1:6;0:13;0:5;0:4;0:1;0:0;2:17;1:99;0:40,x0 > 1|x9 <= 7|x10 <= 23|x9 <= 0|x10 <= 17|x4 > 0|x10 > 1,512
199,103,7,8771093100000,1067,1067,0,0.0,0.0,0,2,0.0,sample,1.0,87710931.0,8.145321578521622e-07,1.0,1e-05,fresh_region,0,1,0,1694903,119260,3309056,449557,2:8;0:6;0:74;0:14;0:6;0:13;0:1;0:4;0:1;7:7;24:43;1:99;0:40,x0 > 1|x9 <= 7|x10 > 23|x6 <= 1|x9 > 6|x0 <= 8|x3 <= 14,512
261,135,8,4187848896000,1046,1046,0,0.0,0.0,1,0,0.0,sample,1.0,41878488.96,3.889067826697308e-07,1.0,1e-05,fresh_region,0,0,0,1694903,119260,3309056,449557,1:1;0:6;0:74;0:13;0:0;0:13;0:5;0:4;0:1;6:99;0:43;54:57;0:40,x0 <= 1|x4 <= 5|x11 > 53|x4 <= 0|x3 <= 14|x9 > 5|x11 <= 57|x3 <= 13,512
277,144,8,5278687680000,1052,1052,0,0.0,0.0,1,0,0.0,sample,1.0,52786876.800000004,4.90208098078223e-07,1.0,1e-05,fresh_region,0,2,0,1694903,119260,3309056,449557,1:1;0:6;0:74;0:15;2:5;0:13;1:5;0:4;0:1;0:6;0:16;54:99;0:40,x0 <= 1|x4 <= 5|x11 > 53|x4 > 0|x10 <= 16|x6 > 0|x4 > 1|x9 <= 6,512
327,170,8,1527960218400,1028,1028,0,0.0,0.0,1,0,0.0,sample,1.0,15279602.184,1.4189482651889913e-07,1.0,1e-05,fresh_region,0,2,0,1694903,119260,3309056,449557,1:1;0:6;3:5;0:10;6:6;0:13;0:5;0:4;0:1;3:99;24:43;1:99;0:40,x0 <= 1|x4 > 5|x2 > 2|x2 <= 5|x10 > 23|x3 <= 14|x9 > 2|x3 <= 10,512
329,171,8,93080988000,1007,1007,0,0.0,0.0,1,0,0.0,sample,1.0,930809.8800000001,8.644014736390295e-09,1.0,1e-05,fresh_region,0,0,0,1694903,119260,3309056,449557,1:1;0:6;3:5;15:15;6:6;0:13;0:5;0:4;0:1;0:99;24:36;1:99;0:40,x0 <= 1|x4 > 5|x2 > 2|x2 <= 5|x10 > 23|x3 > 14|x10 <= 37|x10 <= 36,512
340,176,8,3635409254400,1043,1043,0,0.0,0.0,1,0,0.0,sample,1.0,36354092.544,3.3760418580691524e-07,1.0,1e-05,fresh_region,0,1,0,1694903,119260,3309056,449557,1:1;0:6;7:74;0:15;6:6;0:13;0:5;0:4;0:1;0:6;24:43;1:99;0:40,x0 <= 1|x4 > 5|x2 > 2|x2 > 5|x9 <= 6|x10 > 22|x10 > 23|x2 > 6,512
344,178,8,6055133071680,1056,1056,0,0.0,0.0,1,0,0.0,sample,1.0,60551330.716800004,5.623131063285034e-07,1.0,1e-05,fresh_region,0,1,0,1694903,119260,3309056,449557,1:1;0:6;13:74;15:15;6:6;0:13;0:5;0:4;0:1;7:99;0:43;1:99;0:40,x0 <= 1|x4 > 5|x2 > 2|x2 > 5|x9 > 6|x3 > 14|x2 > 6|x2 > 12,512
384,200,8,501205320000,1016,1016,0,0.0,0.0,0,2,0.0,sample,1.0,5012053.2,4.6544694734409275e-08,1.0,1e-05,fresh_region,0,0,0,1694903,119260,3309056,449557,2:8;0:6;0:74;15:15;1:6;0:13;0:1;0:4;0:1;7:7;24:43;1:99;0:40,x0 > 1|x9 <= 7|x10 > 23|x6 <= 1|x9 > 6|x0 <= 8|x3 > 14|x4 > 0,512
417,217,8,46110889440000,1153,1153,0,0.0,0.0,1,0,0.0,sample,1.0,461108894.40000004,4.282111915565653e-06,1.0,1e-05,fresh_region,0,11,0,1694903,119260,3309056,449557,9:9;0:6;0:74;0:14;1:6;6:6;0:5;0:4;0:1;8:99;0:43;1:98;0:40,x0 > 1|x9 > 7|x0 > 8|x5 <= 6|x5 > 5|x4 > 0|x3 <= 14|x11 <= 98,512
537,279,9,1246067550000,1026,1026,0,0.0,0.0,1,0,0.0,sample,1.0,12460675.500000002,1.1571671612185455e-07,1.0,1e-05,fresh_region,0,0,0,1694903,119260,3309056,449557,1:1;0:6;0:74;0:14;1:5;0:13;0:5;0:4;0:1;0:6;17:19;54:99;0:38,x0 <= 1|x4 <= 5|x11 > 53|x4 > 0|x10 > 16|x10 <= 19|x9 <= 6|x12 <= 38|x3 <= 14,512
540,280,9,56800800000,1006,1006,0,0.0,0.0,1,0,0.0,sample,1.0,568008.0,5.27483606253468e-09,1.0,1e-05,fresh_region,0,0,0,1694903,119260,3309056,449557,1:1;0:6;0:74;0:15;1:5;0:13;1:5;0:4;0:1;0:6;17:19;54:99;39:40,x0 <= 1|x4 <= 5|x11 > 53|x4 > 0|x10 > 16|x10 <= 19|x9 <= 6|x12 > 38|x6 > 0,512
593,307,9,3412886400,1002,1002,0,0.0,0.0,1,0,0.0,sample,1.0,34128.864,3.169394843039915e-10,1.0,1e-05,fresh_region,0,0,0,1694903,119260,3309056,449557,1:1;0:2;0:2;0:15;6:6;0:13;0:0;0:4;0:1;0:4;35:43;1:99;0:37,x0 <= 1|x4 > 5|x2 <= 2|x10 > 23|x9 <= 4|x10 > 34|x1 <= 2|x12 <= 37|x6 <= 0,512
598,309,9,3762028800,1002,1002,0,0.0,0.0,1,3,0.0,sample,1.0,37620.288,3.49362776273117e-10,1.0,1e-05,fresh_region,0,0,0,1694903,119260,3309056,449557,1:1;3:6;0:2;0:15;6:6;0:2;0:5;0:4;0:1;0:4;35:43;41:99;0:40,x0 <= 1|x4 > 5|x2 <= 2|x10 > 23|x9 <= 4|x10 > 34|x1 > 2|x5 <= 2|x11 > 40,512
599,310,9,3857673600,1002,1002,0,0.0,0.0,1,3,0.0,sample,1.0,38576.736000000004,3.58244880754637e-10,1.0,1e-05,fresh_region,0,0,0,1694903,119260,3309056,449557,1:1;3:6;0:2;0:15;6:6;3:13;0:0;0:4;0:1;0:4;35:43;1:99;0:40,x0 <= 1|x4 > 5|x2 <= 2|x10 > 23|x9 <= 4|x10 > 34|x1 > 2|x5 > 2|x6 <= 0,512
601,311,9,8592091200,1003,1003,0,0.0,0.0,1,0,0.0,sample,1.0,85920.91200000001,7.979090525898733e-10,1.0,1e-05,fresh_region,0,0,0,1694903,119260,3309056,449557,1:1;0:6;0:2;0:11;6:6;0:13;0:5;0:4;0:1;5:5;24:33;1:99;0:40,x0 <= 1|x4 > 5|x2 <= 2|x10 > 23|x9 > 4|x9 <= 5|x10 <= 34|x10 <= 33|x3 <= 11,512
640,332,9,23812367040,1004,1004,0,0.0,0.0,1,3,0.0,sample,1.0,238123.67040000003,2.2113479457490775e-09,1.0,1e-05,fresh_region,0,0,0,1694903,119260,3309056,449557,1:1;3:6;3:5;15:15;6:6;0:13;0:5;0:4;0:1;3:99;38:43;1:99;0:40,x0 <= 1|x4 > 5|x2 > 2|x2 <= 5|x10 > 23|x3 > 14|x10 > 37|x1 > 2|x9 > 2,512
658,342,9,25367126400,1004,1004,0,0.0,0.0,1,3,0.0,sample,1.0,253671.26400000002,2.3557314885986736e-09,1.0,1e-05,fresh_region,0,0,0,1694903,119260,3309056,449557,1:1;3:6;6:6;15:15;6:6;0:13;0:5;0:4;0:1;7:99;24:43;1:99;0:40,x0 <= 1|x4 > 5|x2 > 2|x2 > 5|x9 > 6|x3 > 14|x2 <= 6|x10 > 23|x1 > 2,512
671,350,9,92574720000,1007,1007,0,0.0,0.0,0,2,0.0,sample,1.0,925747.2000000001,8.596999893224224e-09,1.0,1e-05,fresh_region,0,0,0,1694903,119260,3309056,449557,2:9;0:6;0:74;0:15;1:5;0:13;0:5;0:4;0:1;0:0;0:1;96:99;0:40,x0 > 1|x9 <= 7|x10 <= 23|x9 <= 0|x10 <= 17|x4 > 0|x10 <= 1|x11 > 95|x4 <= 5,512
739,385,9,537005700000,1017,1017,0,0.0,0.0,1,0,0.0,sample,1.0,5370057.0,4.986931578686708e-08,1.0,1e-05,fresh_region,0,0,0,1694903,119260,3309056,449557,9:9;0:6;0:74;0:14;0:6;0:5;0:1;0:4;0:1;7:7;24:43;1:99;0:40,x0 > 1|x9 <= 7|x10 > 23|x6 <= 1|x9 > 6|x0 > 8|x5 <= 7|x5 <= 5|x3 <= 14,512
767,399,9,623722176000,1018,1018,0,0.0,0.0,0,2,0.0,sample,1.0,6237221.760000001,5.7922286780598214e-08,1.0,1e-05,fresh_region,0,1,0,1694903,119260,3309056,449557,2:8;0:6;0:4;0:15;0:6;0:13;2:5;0:4;0:1;7:7;24:33;1:99;0:40,x0 > 1|x9 <= 7|x10 > 23|x6 > 1|x9 > 3|x10 <= 33|x9 > 6|x0 <= 8|x2 <= 4,512
773,402,9,2338958160000,1035,1035,0,0.0,0.0,0,2,0.0,sample,1.0,23389581.6,2.1720857542724328e-07,1.0,1e-05,fresh_region,0,0,0,1694903,119260,3309056,449557,2:8;0:6;0:74;0:3;0:6;0:13;2:5;0:4;0:1;7:7;34:43;1:99;0:40,x0 > 1|x9 <= 7|x10 > 23|x6 > 1|x9 > 3|x10 > 33|x3 <= 3|x9 > 6|x0 <= 8,512
824,428,9,1391596416000,1027,1027,0,0.0,0.0,1,0,0.0,sample,1.0,13915964.160000002,1.2923133053778842e-07,1.0,1e-05,fresh_region,0,1,0,1694903,119260,3309056,449557,9:9;0:2;25:74;0:15;6:6;7:13;0:5;0:4;0:1;8:99;38:43;39:99;0:40,x0 > 1|x9 > 7|x0 > 8|x5 > 6|x1 <= 2|x11 > 38|x10 > 37|x4 > 5|x2 > 24,512
841,437,10,10921502592000,1075,1075,16,0.014883720930232559,0.02932439156300703,,,0.0,sample,1.0,162552596718.13956,0.0015095532091581438,1.0,1e-05,fresh_region,0,4981,93,1694903,119260,3309056,449557,1:1;0:6;0:74;0:15;0:1;0:13;0:1;0:4;0:1;0:98;0:21;1:26;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 <= 26|x6 <= 1|x10 <= 21|x4 <= 1|x9 <= 98,512
842,437,10,110318208000,1008,1008,20,0.01984126984126984,0.03889518770471151,,,0.0,sample,1.0,2188853333.333333,2.0326901202563883e-05,1.0,1e-05,fresh_region,0,66,2,1694903,119260,3309056,449557,1:1;0:6;0:74;0:15;0:1;0:13;0:1;0:4;0:1;99:99;0:21;1:26;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 <= 26|x6 <= 1|x10 <= 21|x4 <= 1|x9 > 98,512
843,438,10,11031820800000,1075,1075,85,0.07906976744186046,0.14563547863710113,,,0.0,sample,1.0,872283505116.279,0.008100506488538018,1.0,1e-05,fresh_region,0,26800,1962,1694903,119260,3309056,449557,1:1;0:6;0:74;0:15;2:5;0:13;0:0;0:4;0:1;0:99;0:21;1:26;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 <= 26|x6 <= 1|x10 <= 21|x4 > 1|x6 <= 0,512
844,438,10,11031820800000,1075,1075,16,0.014883720930232559,0.02932439156300703,,,0.0,sample,1.0,164194542139.53488,0.0015248012213718621,1.0,1e-05,fresh_region,0,5156,57,1694903,119260,3309056,449557,1:1;0:6;0:74;0:15;2:5;0:13;1:1;0:4;0:1;0:99;0:21;1:26;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 <= 26|x6 <= 1|x10 <= 21|x4 > 1|x6 > 0,512
845,439,10,501446400000,1016,1016,45,0.04429133858267716,0.08465923181846363,,,0.0,sample,1.0,22209732283.464565,0.00020625184291076814,1.0,1e-05,fresh_region,0,688,24,1694903,119260,3309056,449557,1:1;0:6;0:74;0:15;0:0;0:13;0:1;0:4;0:1;0:99;22:23;1:26;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 <= 26|x6 <= 1|x10 > 21|x10 <= 23|x4 <= 0,512
846,439,10,2507232000000,1036,1036,268,0.25868725868725867,0.38353632176026,,,0.0,sample,1.0,648588972972.9729,0.006023155491472247,1.0,1e-05,fresh_region,0,20072,5189,1694903,119260,3309056,449557,1:1;0:6;0:74;0:15;1:5;0:13;0:1;0:4;0:1;0:99;22:23;1:26;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 <= 26|x6 <= 1|x10 > 21|x10 <= 23|x4 > 0,512
847,440,10,15043392000000,1088,1088,69,0.06341911764705882,0.11879426632785466,,,0.0,sample,1.0,954038647058.8235,0.008859729899152262,1.0,1e-05,fresh_region,0,29394,2069,1694903,119260,3309056,449557,1:1;0:6;0:74;0:15;0:5;0:13;0:1;0:4;0:1;0:99;24:33;1:26;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 <= 26|x6 <= 1|x10 > 21|x10 > 23|x10 <= 33,512
848,440,10,1504339200000,1028,1028,243,0.23638132295719844,0.36101038622840614,,,0.0,sample,1.0,355597690272.37354,0.003302276588362758,1.0,1e-05,fresh_region,0,10807,2601,1694903,119260,3309056,449557,1:1;0:6;0:74;0:15;0:5;0:13;0:1;0:4;0:1;0:99;34:34;1:26;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 <= 26|x6 <= 1|x10 > 21|x10 > 23|x10 > 33,512
849,441,10,3666826800000,1043,1043,15,0.014381591562799617,0.028349522773840855,,,0.0,sample,1.0,52734805369.12752,0.0004897245340062487,1.0,1e-05,fresh_region,0,1654,39,1694903,119260,3309056,449557,1:1;0:6;0:74;0:12;0:5;0:0;2:5;0:2;0:1;0:99;0:34;1:26;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 <= 26|x6 > 1|x3 <= 12|x5 <= 0|x7 <= 2,512
850,441,10,2444551200000,1036,1036,29,0.027992277992277992,0.05441742073016204,,,0.0,sample,1.0,68428556756.75675,0.0006354653788111112,1.0,1e-05,fresh_region,0,2100,55,1694903,119260,3309056,449557,1:1;0:6;0:74;0:12;0:5;0:0;2:5;3:4;0:1;0:99;0:34;1:26;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 <= 26|x6 > 1|x3 <= 12|x5 <= 0|x7 > 2,512
851,442,10,75210691920000,1195,1195,13,0.010878661087866108,0.02152063164160291,,,0.0,sample,1.0,818191627581.5898,0.007598179432739177,1.0,1e-05,fresh_region,0,25153,288,1694903,119260,3309056,449557,1:1;0:6;0:70;0:12;0:5;1:13;2:5;0:4;0:1;0:99;0:34;1:26;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 <= 26|x6 > 1|x3 <= 12|x5 > 0|x2 <= 70,512
852,442,10,4237222080000,1047,1047,15,0.014326647564469915,0.028242789468066767,,,0.0,sample,1.0,60705187392.55015,0.00056374190441182,1.0,1e-05,fresh_region,0,1832,26,1694903,119260,3309056,449557,1:1;0:6;71:74;0:12;0:5;1:13;2:5;0:4;0:1;0:99;0:34;1:26;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 <= 26|x6 > 1|x3 <= 12|x5 > 0|x2 > 70,512
853,443,10,926780400000,1022,1022,187,0.18297455968688844,0.29898974038855547,,,0.0,sample,1.0,169577235616.43835,0.0015747878864637987,1.0,1e-05,fresh_region,0,5172,782,1694903,119260,3309056,449557,1:1;0:6;0:74;13:15;0:5;0:0;2:5;0:4;0:1;0:99;0:22;1:26;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 <= 26|x6 > 1|x3 > 12|x10 <= 22|x5 <= 0,512
854,443,10,12048145200000,1078,1078,40,0.03710575139146568,0.07145782921028085,,,0.0,sample,1.0,447055480519.4805,0.004151604150994222,1.0,1e-05,fresh_region,0,13871,502,1694903,119260,3309056,449557,1:1;0:6;0:74;13:15;0:5;1:13;2:5;0:4;0:1;0:99;0:22;1:26;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 <= 26|x6 > 1|x3 > 12|x10 <= 22|x5 > 0,512
855,444,10,1934150400000,1032,1032,172,0.16666666666666666,0.2777777777777778,,,0.0,sample,1.0,322358400000.0,0.0029935981771048634,1.0,1e-05,fresh_region,0,9848,1699,1694903,119260,3309056,449557,1:1;0:1;0:74;13:15;0:5;0:13;2:5;0:4;0:1;0:99;23:34;1:26;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 <= 26|x6 > 1|x3 > 12|x10 > 22|x1 <= 1,512
856,444,10,4835376000000,1050,1050,123,0.11714285714285715,0.20684081632653062,,,0.0,sample,1.0,566429760000.0,0.005260179654055688,1.0,1e-05,fresh_region,0,17313,1742,1694903,119260,3309056,449557,1:1;2:6;0:74;13:15;0:5;0:13;2:5;0:4;0:1;0:99;23:34;1:26;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 <= 26|x6 > 1|x3 > 12|x10 > 22|x1 > 1,512
857,445,10,156219840000,1009,1009,15,0.014866204162537165,0.029290400272669857,,,0.0,sample,1.0,2322396035.6788898,2.156705250715938e-05,1.0,1e-05,fresh_region,0,81,1,1694903,119260,3309056,449557,1:1;0:6;0:74;0:14;0:0;0:13;0:5;0:4;0:1;0:0;0:23;27:50;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 > 26|x4 <= 0|x3 <= 14|x9 <= 0|x10 <= 23,512
858,445,10,71600760000,1007,1007,78,0.07745779543197617,0.1429161707175886,,,0.0,sample,1.0,5546037020.854022,5.1503563474023596e-05,1.0,1e-05,fresh_region,0,191,14,1694903,119260,3309056,449557,1:1;0:6;0:74;0:14;0:0;0:13;0:5;0:4;0:1;0:0;24:34;27:50;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 > 26|x4 <= 0|x3 <= 14|x9 <= 0|x10 > 23,512
859,446,10,455641200000,1016,1016,22,0.021653543307086614,0.04236933473866948,,,0.0,sample,1.0,9866246456.692913,9.162341483151431e-05,1.0,1e-05,fresh_region,0,300,6,1694903,119260,3309056,449557,1:1;0:6;0:74;0:14;0:0;0:13;0:5;0:4;0:1;1:2;0:34;27:50;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 > 26|x4 <= 0|x3 <= 14|x9 > 0|x9 <= 2,512
860,446,10,22098598200000,1106,1106,3,0.0027124773960217,0.005410239724795543,,,0.0,sample,1.0,59941948101.26582,0.000556654042730277,1.0,1e-05,fresh_region,0,1844,13,1694903,119260,3309056,449557,1:1;0:6;0:74;0:14;0:0;0:13;0:5;0:4;0:1;3:99;0:34;27:50;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 > 26|x4 <= 0|x3 <= 14|x9 > 0|x9 > 2,512
861,447,10,361620000000,1014,1014,165,0.16272189349112426,0.27248695773957493,,,0.0,sample,1.0,58843491124.26035,0.0005464531644407964,1.0,1e-05,fresh_region,0,1914,271,1694903,119260,3309056,449557,1:1;0:4;0:74;15:15;0:0;0:13;0:1;0:4;0:1;0:99;0:34;27:50;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 > 26|x4 <= 0|x3 > 14|x6 <= 1|x1 <= 4,512
862,447,10,144648000000,1009,1009,178,0.17641228939544104,0.2905819870914004,,,0.0,sample,1.0,25517684836.471756,0.0002369713176712574,1.0,1e-05,fresh_region,0,799,141,1694903,119260,3309056,449557,1:1;5:6;0:74;15:15;0:0;0:13;0:1;0:4;0:1;0:99;0:34;27:50;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 > 26|x4 <= 0|x3 > 14|x6 <= 1|x1 > 4,512
863,448,10,506268000000,1016,1016,37,0.03641732283464567,0.07018220286440573,,,0.0,sample,1.0,18436925196.85039,0.00017121547215990046,1.0,1e-05,fresh_region,0,557,19,1694903,119260,3309056,449557,1:1;0:6;0:74;15:15;0:0;0:6;2:5;0:4;0:1;0:99;0:34;27:50;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 > 26|x4 <= 0|x3 > 14|x6 > 1|x5 <= 6,512
864,448,10,506268000000,1016,1016,25,0.024606299212598427,0.04800165850331701,,,0.0,sample,1.0,12457381889.76378,0.00011568612983777061,1.0,1e-05,fresh_region,0,387,12,1694903,119260,3309056,449557,1:1;0:6;0:74;15:15;0:0;7:13;2:5;0:4;0:1;0:99;0:34;27:50;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 > 26|x4 <= 0|x3 > 14|x6 > 1|x5 > 6,512
865,449,10,277724160000,1012,1012,4,0.003952569169960474,0.007873892733834304,,,0.0,sample,1.0,1097723952.56917,1.0194071019633467e-05,1.0,1e-05,fresh_region,0,49,0,1694903,119260,3309056,449557,1:1;0:6;0:74;0:15;1:5;0:13;0:5;0:4;0:1;0:7;0:0;27:50;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 > 26|x4 > 0|x10 <= 0|x9 <= 10|x9 <= 7,512
866,449,10,104146560000,1008,1008,117,0.11607142857142858,0.20519770408163265,,,0.0,sample,1.0,12088440000.0,0.00011225993164143239,1.0,1e-05,fresh_region,0,401,47,1694903,119260,3309056,449557,1:1;0:6;0:74;0:15;1:5;0:13;0:5;0:4;0:1;8:10;0:0;27:50;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 > 26|x4 > 0|x10 <= 0|x9 <= 10|x9 > 7,512
867,450,10,1029893760000,1023,1023,64,0.06256109481915934,0.11729440846837498,,,0.0,sample,1.0,64431281173.02053,0.0005983444695968374,1.0,1e-05,fresh_region,0,2012,114,1694903,119260,3309056,449557,1:1;0:6;0:74;0:15;1:5;0:13;0:5;0:4;0:1;11:99;0:0;27:34;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 > 26|x4 > 0|x10 <= 0|x9 > 10|x11 <= 34,512
868,450,10,2059787520000,1033,1033,140,0.1355275895450145,0.23431972403426515,,,0.0,sample,1.0,279158037560.50336,0.002592415747085523,1.0,1e-05,fresh_region,0,8511,1223,1694903,119260,3309056,449557,1:1;0:6;0:74;0:15;1:5;0:13;0:5;0:4;0:1;11:99;0:0;35:50;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 > 26|x4 > 0|x10 <= 0|x9 > 10|x11 > 34,512
869,451,10,12150432000000,1079,1079,167,0.15477293790546803,0.26163655119515633,,,0.0,sample,1.0,1880558057460.6118,0.01746390096474592,1.0,1e-05,fresh_region,0,57785,8628,1694903,119260,3309056,449557,1:1;0:6;0:74;0:15;1:5;0:13;0:0;0:4;0:1;0:99;1:21;27:50;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 > 26|x4 > 0|x10 > 0|x6 <= 0|x10 <= 21,512
870,451,10,7521696000000,1062,1062,26,0.02448210922787194,0.04776547111125297,,,0.0,sample,1.0,184146983050.84744,0.0017100906096455904,1.0,1e-05,fresh_region,0,5622,162,1694903,119260,3309056,449557,1:1;0:6;0:74;0:15;1:5;0:13;0:0;0:4;0:1;0:99;22:34;27:50;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 > 26|x4 > 0|x10 > 0|x6 <= 0|x10 > 21,512
871,452,10,61475400000000,1176,1176,88,0.07482993197278912,0.13846082650747374,,,0.0,sample,1.0,4600200000000.0,0.04271999840648729,1.0,1e-05,fresh_region,0,141415,9466,1694903,119260,3309056,449557,1:1;0:6;0:74;0:15;1:5;0:13;1:5;0:4;0:1;0:99;1:34;27:41;0:40,x0 <= 1|x4 <= 5|x11 <= 53|x11 <= 50|x10 <= 34|x11 > 26|x4 > 0|x10 > 0|x6 > 0|x11 <= 41,512
